iter	Logloss
0	0.3908207033
1	0.3081542505
2	0.2736547859
3	0.2530962535
4	0.234763979
5	0.2270528134
6	0.2196237209
7	0.2168839497
8	0.2137233785
9	0.2100691266
10	0.2081031447
11	0.2053123833
12	0.2017946932
13	0.2004301791
14	0.1956437634
15	0.1940400927
16	0.1931986658
17	0.1873890767
18	0.1852296232
19	0.1838534222
20	0.1837595038
21	0.1803072296
22	0.178031541
23	0.1769610968
24	0.1753978833
25	0.1751694057
26	0.1730404581
27	0.1724613918
28	0.1720425383
29	0.1698188898
30	0.1677717713
31	0.1649329731
32	0.1645959298
33	0.1639885852
34	0.1626910192
35	0.1620251889
36	0.1606159414
37	0.1604077215
38	0.1602177012
39	0.1597333666
40	0.1590852465
41	0.1588975668
42	0.1575996614
43	0.1567399877
44	0.1547530145
45	0.1534340069
46	0.1526191656
47	0.1510351675
48	0.1498214124
49	0.1492844258
50	0.1485842248
51	0.14730541
52	0.1467765269
53	0.1453276174
54	0.1452384508
55	0.1448984915
56	0.1439906705
57	0.1424559176
58	0.1419338996
59	0.1418783356
60	0.1415722154
61	0.1413014827
62	0.1409207396
63	0.1396766749
64	0.137620804
65	0.1375375941
66	0.1367959441
67	0.1363019111
68	0.1351266133
69	0.1344309944
70	0.1341837974
71	0.1330153124
72	0.1322473383
73	0.1319280279
74	0.1300947703
75	0.1291041922
76	0.1283437136
77	0.1280769826
78	0.1255974745
79	0.1253730433
80	0.1250290801
81	0.1239893363
82	0.1235797113
83	0.122665267
84	0.1224986151
85	0.1221648784
86	0.1214853991
87	0.1212215448
88	0.1206612331
89	0.120399731
90	0.1194946639
91	0.1189336013
92	0.1186394072
93	0.1183669266
94	0.1181777494
95	0.1167475537
96	0.1148937868
97	0.1146380183
98	0.1139763157
99	0.113089279
100	0.1122956543
101	0.1122938758
102	0.1121352111
103	0.1119200623
104	0.1112713885
105	0.1109648952
106	0.1106131074
107	0.1093344267
108	0.1087069913
109	0.1078292596
110	0.1072483903
111	0.1065810255
112	0.1056856212
113	0.1056577841
114	0.1048969303
115	0.1038563859
116	0.103201689
117	0.1019316407
118	0.1012889314
119	0.1004761167
